Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q80XU3_peptide2	18279345.56	34300630.08	34057208.13	7362656.409	12226644.74	65365850.16	22273996.31	5994758.473
A2AAE1_peptide1	11259001	10370404.73	12519809.32	10347275.7	10468997.79	7386224.422	8159714.967	7430652.495
P62500_peptide1	5386958.5	6547798.028	6211447.818	6694727.832	4998424.754	5663696.722	5347321.295	5139083.03
Q9QYB1_peptide1	3611771.25	2793811.739	4246854.197	3167817.574	3950103.667	3904024.926	3684833.609	3630270.535
Q03173_peptide1	7687273	9082819.285	10569810.17	12400299.4	4761590.934	4292101.215	5492099.603	4254714.845
A2AWL7_peptide1	2925233.25	2698637.492	3234521.076	5623534.706	11572683.73	8624905.013	11824979.8	8728779.715
Q80TV8_peptide1	108090296	115959047.8	152825482.1	145766929.6	65486997.53	63546219.08	71724746.51	71925596.63
G5E829_peptide1	27845256	24004360.06	34586871.86	49099546.71	13046464.62	13802392.7	16234937.16	17838048.05
Q3UGS4_peptide1	4585853.5	5461705.9	7099380.131	7808853.055	3970935.205	6936436.329	8036257.254	8819678.437
Q9DBR1_peptide3	66559690.13	75367118.71	91443188.73	100824322.7	65473562.33	88642451.9	88878943.29	96425656.77
Q9DBR1_peptide4	18342347.5	17915385.74	21203997.57	23272106.29	11697911.42	17150790.6	20880480.87	18356974.45
Q61464_peptide1	3988226.5	5753416.571	NA	NA	NA	NA	NA	3491116.182
Q3UPF5_peptide1	1321675.5	NA	NA	1216819.494	46805296.96	64310257.85	78871339.19	77251959.86
P58871_peptide1	260811072	242195877	277507999	336893268.3	481537295.1	456697875.6	523946731.3	559048005.8
A2AHC3_peptide1	4029568.375	4979214.728	NA	1568050.883	5964509.347	1208920.391	3466198.145	NA
Q3UE31_peptide1	18935678.5	24398568.88	25602813.67	25986310.26	20785637.5	23171741.75	23349581.36	26381265.2
Q68FD5_peptide1	8459356.5	10620401.04	15187950.01	10913625.14	9239216.404	9752942.639	13701345.31	12969829.49
Q68FL6_peptide1	88003089	136523860.2	141103520.1	140749105.7	123617192.6	141917829.4	145238719.2	149524453.5
Q8BY46_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
P70670_peptide1	87804268	83962122.9	15836138.33	44020893.63	59499220.05	83217912.91	39518294.15	68119850.25
Q14AX6-3_peptide1	267668625.8	311968023.4	286684103.4	309488459.3	283995564.6	279030752.9	283397193.5	305957569.9
Q69ZR9-2_peptide1	NA	3419846.647	2711006.577	2054459.57	7330999.849	7109585.831	6744144.036	7210530.57
Q80UP8_peptide1	6438531.5	NA	NA	NA	14555207.45	60666628.47	NA	NA
