From	To
Q80WJ7	67154
P59808	70097
O88291	54367
Q9Z0R4	16443
Q05512	13728
Q9DBS9	71720
P52480	18746
P13707	14555
P15975	99526
Q9D8S3	66251
Q9JJZ6	50794
Q07646	17294
Q60929	17258
Q9CQT2	67010
Q8VEF1	52857
Q5F2E7	68564
Q7M6Y3	233489
Q3TVI8	229534
Q99L90	51812
Q9JI10	56274
Q3UHQ6	70028
Q8VDJ3	110611
Q04857	12833
Q6ZPY5	668501
E9Q309	74081
Q62504	56381
P09103	18453
Q9JHI2	30947
O35927	18163
P59438	246694
Q8CBC4	226744
Q9DBC3	74157
O08609	21428
Q61193	19732
Q9QZK2	29815
Q8VED9	216551
Q8VE99	69668
Q62383	20926
Q80TZ9	68703
P01027	12266
P06537	14815
Q9JLQ0	12488
Q9JID9	23921
Q9WUM3	23789
Q9WVC3	12390
Q80X80	71764
Q9DB77	67003
Q69ZS0	55983
Q3UH06	68750
Q6P4S6	70661
Q69ZA1	69562
Q8R3Q0	67887
Q7TN75	170676
Q9D0J8	69202
O55187	12418
Q9QYC0	11518
Q7TPM1	227723
Q6NVF4	117599
O70475	22235
Q6NXI6	75137
Q5EBG6	243912
Q4VGL6	381305
Q8K2A7	70885
Q9R1P4	26440
Q6ZPT1	242521
Q9D906	74244
P28028	109880
O35613	13163
Q8CDG3	70675
Q8BRT1	76499
Q0VGB7	232314
P51660	15488
P59114	228866
Q8K1M6	74006
Q65Z40	218914
Q9EP53	64930
Q9CQ49	68092
Q9JKS4	24131
Q6DFV3	71435
Q6Y5D8	78514
O88492	57435
Q9WVL3	20499
Q91YK2	72462
Q80U58	80913
O70305	20239
Q921H8	113868
Q00612	14381
Q8R3D1	70296
P58501	67367
Q5KR48	497015
Q0VGY8	66860
Q04690	18015
Q69Z89	231858
P47856	14583
Q9D8U8	69178
Q9WTK0	56312
Q9JM13	56715
Q9Z329	16439
P37040	18984
Q8R3C0	210711
P07901	15519
Q3TIR3	101489
Q58A65	70834
Q8BX02	235041
Q8BHL3	68449
Q8CI94	110078
P14404	14013
Q8CJ53	106628
Q05D44	226982
G3X9K3	211673
Q61235	20650
Q6P9R1	69663
Q9R117	54721
Q91W50	229663
O35671	16413
P47791	14782
Q9DBD5	75273
Q8CGF1	214137
Q920S3	67210
Q61171	21672
Q6PFD9	269966
Q80W71	231999
Q80U56	78937
Q9CYZ2	66314
Q91ZV3	73379
P14152	17449
P38532	15499
Q9DBJ1	18648
Q62311	21343
Q61211	16865
Q7TN99	208922
Q63829	12238
Q8BUV3	268566
Q148V8	105732
Q9CR86	52502
Q61210	16801
Q9D1L0	14004
Q99K90	68652
P17665	12867
Q921E6	13626
Q9QYS9	19317
P28700	20181
P02672	522039
Q3TCX3	74200
Q6NSQ7	353258
Q9JM96	56699
Q8K337	16330
P48962	11739
P51881	11740
Q61337	12015
Q8BGR2	231549
Q80XI4	108083
O88569	53379
P34152	14083
P70175	53310
Q9Z266	20615
E9Q7E2	77044
P41230	20591
Q91VH2	66616
Q9CQC5	260409
Q99KG7	192232
Q03141	17169
Q6ZPR6	108837
P70296	23980
Q8BYR2	16798
Q5SV85	217030
Q3TWW8	67996
P70398	22284
Q6V4S5	237979
P53995	17222
P32921	22375
P25425	18986
Q60598	13043
P27546	17758
Q9JII1	64436
P70404	15929
Q8C0D4	75415
Q8CE90	26400
P68181	18749
P49117	22026
Q80XI3	230861
A2AIW0	68112
Q8C033	234094
Q9ES34	117146
A2AJI0	245877
O08749	13382
Q9CPR4	319195
P58252	13629
E9Q1P8	270110
P40630	21780
Q921F2	230908
O54967	51789
P47738	11669
Q9Z103	11538
Q99MJ9	94213
Q8QZS3	216805
Q8K2Y9	216527
Q8BWW4	207214
Q9D2G2	78920
Q9CS00	70312
E9Q5F9	235626
Q9D0N7	110749
Q8JZQ9	27979
Q7TPN9	233895
Q9D6W8	71923
P29341	18458
Q8CGK3	74142
Q3U7R1	23943
Q3V1V3	66580
Q6NS57	26390
P15806	21423
Q80TG1	76719
P59017	94044
Q8BJ56	66853
Q08509	13860
Q61335	27061
Q8C838	237858
Q7TQC5	66408
Q8BKR5	232947
Q8BGV8	239555
Q6P9Q4	234686
Q9CRA0	109978
P0C8B4	100233175
P50096	23917
Q8BR92	677884
Q8BKX1	108100
Q60931	22335
Q60605	17904
Q8R3C6	74111
B1AYB6	109241
P80318	12462
Q921T2	208263
Q80Y17	16897
Q6NV83	67958
A8Y5H7	74136
Q8BL48	217331
Q8BMP6	170760
Q91YD9	73178
Q9D5R2	70948
Q921G6	231798
Q62318	21849
Q61136	19134
Q9WUU8	57783
E9Q137	21767
Q8BT14	53621
Q80X71	71900
Q3UVG3	210998
Q9WVS7	23938
E9Q394	75547
P47754	12343
Q6PDL0	234663
Q9DBL1	66885
Q8CGI1	231128
O35984	18515
Q8C142	100017
Q9ESN6	80890
Q62523	22793
Q7TPE5	66432
Q99K01	94184
Q61457	12447
Q8BGT6	27008
P35831	19248
Q6PDQ2	107932
P56695	22393
P05213	22143
P68373	22146
O88532	22763
Q8CJG0	239528
Q9DAT2	73247
Q924M7	110119
Q6PR54	51869
P0C090	319817
A2A432	72584
P62702	20102
Q60875	16800
A2A6A1	237943
Q9WVK4	13660
Q99104	17918
F8VPQ2	238247
Q9Z1K5	23806
Q04736	22612
Q9D1P2	67773
P80315	12464
Q8VDQ8	64383
Q64092	209446
Q80VP1	13854
P70288	15182
Q9DBJ3	66898
Q811D0	13383
Q68FF6	216963
Q8R0T2	233890
P54775	23996
Q8R2M2	99480
Q9R020	53861
P35601	19687
Q99J77	94181
Q9JKF1	29875
Q9CWY3	66083
Q03265	11946
P18760	12631
Q9JLV1	29810
Q62261	20742
Q3KNJ2	75570
P97480	14050
Q60925	13170
Q8BGQ7	234734
Q80Y83	330938
Q5U4C3	233208
P59997	225876
Q8BP47	70223
Q9D2Q3	68277
Q9JIK5	56200
Q8C9X6	13831
O09106	433759
O54943	18627
Q61598	14569
Q9CQ56	67023
P97863	18028
O70496	26373
F8VPU2	223254
Q8K4L3	225115
Q6PNC0	240283
Q64449	17534
P42567	13858
O35492	102414
P63017	15481
Q8K1G2	68525
Q9D3S3	74478
O88343	54403
Q8BU14	69276
P62908	27050
P16045	16852
P53566	12606
Q8BMF4	235339
Q70IV5	233335
Q62446	30795
P83741	232341
Q08943	20833
Q9JM55	57259
O70318	13822
Q6ZQ93	17847
Q9CZN7	108037
Q8R180	50527
Q6ZPQ6	19679
G5E8P1	223770
Q8K3X4	238330
P23708	18044
Q8BWM0	96979
Q91YD3	75901
Q61510	217069
Q62165	13138
Q6IR34	67839
Q9DBU6	66880
Q80VJ2	24068
Q9D0F9	72157
Q9DBR4	11787
Q9D1P4	66917
Q8VHQ4	224624
A2AG58	382252
Q8BLK9	320119
P11152	16956
O35643	11764
P18052	19262
Q9D024	67163
Q91VN4	66098
Q9Z2B5	13666
Q8BI72	70925
Q61768	16573
Q02053	22201
P26443	14661
Q3U9G9	98386
Q3U0M1	76510
Q99L48	97112
P61979	15387
Q921I6	98402
Q05AH6	68229
Q8R5K2	170822
Q8K2Y3	230752
Q99KG3	236732
O55003	12176
Q9Z0X1	26926
Q8R3B7	78656
Q9EQQ2	67180
Q3B7Z2	76303
Q8K0T2	213575
P40142	21881
Q9CQV8	54401
Q60722	21413
Q91W39	228869
Q80XI6	26403
Q3U2K0	212483
Q8CD94	217708
A2AR02	228005
Q9CZX7	72519
P39053	13429
Q06890	12759
Q03173	13800
Q9QUR6	19072
Q9DBH5	66890
Q3V1T4	56401
Q920I9	104082
