Peptide ID	Basal1	Basal2	Basal3	Basal4	Insulin1	Insulin2	Insulin3	Insulin4
Q3UYI5_peptide2	1165544.25	NA	NA	NA	NA	1376878.375	1077741.375	3142274.75
Q3UYI5_peptide3	435274.1563	463351.5625	735384.5	NA	6506325.5	8713605.5	5669049.75	4862944
Q9CRD0_peptide1	1781719.875	2355887	1590210.75	1588205.875	1492854.25	1401735	1404293	843476.75
Q8C1S0_peptide1	80689388	47194176	42691228	43581413	52176600	47511521	32303708	27103842
P26618_peptide1	NA	1394185.625	NA	1404677.375	NA	NA	NA	NA
P70290_peptide1	NA	NA	NA	3316751	NA	5462820	7519021	6052805
P70290_peptide2	NA	1818123.625	NA	2400474.25	NA	NA	NA	NA
Q61103_peptide1	1795926.375	7126389	4260730	9867455	NA	6965962	3824084.5	5466683
Q9ERU9_peptide1	78789755	88207870	79617380.69	64570846.81	42557254.13	56742626	62665429.5	57255288
Q9D4H9-2_peptide3	2542947.75	1137583.375	NA	NA	NA	NA	NA	NA
Q9QYR6_peptide1	19807923.25	11615571.5	12520828	9530264.125	12449440.25	11641437.25	8534154.125	8546022.875
P20029_peptide1	15470083.88	15564922.44	12979162.31	9637969	16774655	18178883.38	11617250.47	9472357
Q571K4_peptide1	636327.8125	705698.75	459471.5938	533569.75	2338823.75	4164729.25	2216018.25	1908618.375
P49312_peptide1	14563301.63	18936131.88	11934734.5	10932134.38	15338122	21525154.25	13925639.75	12019480.75
Q64727_peptide1	1732812.625	1428148.375	1441739.75	2852979.531	1512370.125	NA	NA	2493569.875
Q80U22_peptide1	2726458.5	821952.6875	961894.9375	505623.25	2023367.75	1377736.625	NA	521246.4688
P13595_peptide1	21510382	19473638	12904948	12445850	9497493	9826589	7733380.5	7155777
Q8BL97; P84104_peptide1	2171458.75	1937724	1418099.125	1252375.125	1949554.25	1515819.25	1270983.5	939786.5625
Q9DB70_peptide1	76442763	54789475	37450019	31756013.5	62240147	48325979	26404807	32730437.5
P59997_peptide1	46563894.5	55393095.88	46113924	25728152	39775132	53091388	29669470	22254776
A2BH40_peptide1	12968075.75	14473612.75	5571144.25	4443182	11438458	10706769.25	5604232.75	2410289.25
Q9D883_peptide1	1127340.5	1100500.375	758278.3125	486566.3125	845823.8125	NA	519132.125	467452.7813
Q9D883_peptide2	6844242.813	8552039.25	7772278.5	6175101.25	12018787.75	10584216.5	9525887.5	7956306.25
P29341_peptide1	NA	NA	NA	NA	NA	NA	NA	NA
Q9R0L6_peptide1	2035556.625	5658992.5	2937070	1470298.5	2816978.25	4128213.25	2005034.25	1377776.625
Q8BX70_peptide1	1481605.375	1380591.625	1526825	991802.375	1609113.25	1797300.875	1100924	NA
Q8BX70_peptide2	NA	1230472.75	1201176.625	1195373.875	NA	1615212.125	1353746.875	913457.1875
Q91WG2_peptide1	NA	4825113	3564140.75	4361336.5	5495734	7546437.25	5931289.875	6205215
Q9D2C2_peptide1	4080679.125	5747034	4521828.25	4375697.375	3669441.625	3726174.75	2880914.563	2574931.75
Q9D2C2_peptide2	17817401.5	17565486	14777743	10178229.5	9668907	16560934.5	8938822.75	6992694.25
Q3TEI4_peptide1	8265047.5	9242646.75	8798162.75	7175103.75	18065577.25	19967435.25	14971348.5	13153267.5
Q8K0V2_peptide1	27558868.75	21789949.5	13956894	12738413.63	27400512	14414933.5	12018223.44	10197537.25
Q9R0L6_peptide2	7415337	4947240.75	4237463.25	3867365.25	27118822	21312405.5	17463947	16503799.5
P24270_peptide1	NA	843138.875	1450804.25	651721.3125	3780179.375	600058.75	949202.0625	1620659.625
Q8CCP0_peptide1	18519858	22998978	23525573.5	22832101.5	19316402.5	29043570	23588609.5	19644218.5
Q91XT4_peptide1	9637122	13221193	7575892.5	NA	7066873	8743513	4850243.5	NA
Q8BVP5_peptide1	NA	1484291.75	1068703	NA	13839988.25	4047829.375	1060226.5	3167478.25
Q6A065_peptide1	9598966.375	933529.8125	NA	NA	8567657.625	NA	NA	NA
Q80X50_peptide1	16882220	16621200	12676037	10740033	14479163	16902972	10725131	8029693
Q9DBP5_peptide2	6896658.5	8310648.5	5960230.5	5199214.5	8705310	8250743	5395229	4307101.5
Q8BGZ4_peptide1	1536312.5	1325901.844	1005639.188	985207.375	5000474.375	4562649.125	3349351.813	3727545.375
Q8BGZ4_peptide2	6505161.5	NA	NA	1186639.5	NA	NA	504805.5313	290569.9063
P49312_peptide2	1367636.625	1362030.75	812924.375	856680.9375	1072151.25	1611791.75	838495.125	586527.75
Q9QYE6_peptide1	NA	2306597	2770564	2426933.25	NA	2549591.75	2181391.75	1387318.875
G5E8P1-2_peptide1	3751244	2734325.5	2136572	1792135.5	4622838.5	4952607.5	3278421.25	2773578
Q6ZQ58_peptide1	NA	4908077.5	1050522.375	1901801.5	2765510.5	3801161.25	3045657	2883526.5
Q6ZQ58_peptide2	28670711	26341827.25	14147785.88	6750707.5	18110162.38	20362996	11552093.88	5703626.75
Q8C351_peptide1	2081067.875	1509526.25	1871134.5	1320563.625	1369936.125	1541377.375	1039087.25	940356.0625
Q9CXE2_peptide1	4694710	3659244.75	3230405	3033423	4488842	5214267.5	4106859.25	3651748.5
Q9CXE2_peptide2	4231829.5	4436458.5	4732706	2989685	3963038.25	4755051	2686146.75	2366944.5
O35126_peptide1	15134808.38	18276029.38	15309750.25	12512869	12944194.63	13772722.81	8560649.5	11186761
B2RY56_peptide1	74059744.94	56474547	46778459.5	57426227.5	39563835.75	54666930.75	43759641.75	44031378.13
A2A6A1_peptide1	19933628	14012523.5	10517143	9463565.5	7149089.25	9599615.5	8980357.75	7691092.5
